Zeiten gesamt;Vorbereitungsszeit;Inferenzzeit;Verarbeitungszeit;Groesse;Name;Modell
1.615849;0.617149;0.903967;0.094733;109303;image1;SSD MobileNet v2
1.848359;1.520522;0.209796;0.113625;99258; image2;SSD MobileNet v2
2.337469;2.069014;0.200567;0.066483;53860; image3;SSD MobileNet v2
1.982174;1.667342;0.210979;0.095153;80367; image4;SSD MobileNet v2
2.106265;1.777979;0.256888;0.061049;113572; image5;SSD MobileNet v2
2.935105;2.474852;0.281538;0.159625;84649; image6;SSD MobileNet v2
2.196599;1.946870;0.180319;0.064953;89931; image7;SSD MobileNet v2
1.346821;1.095161;0.166351;0.083753;127682; image8;SSD MobileNet v2
1.855654;1.601067;0.178305;0.074404;234274; image9;SSD MobileNet v2
1.294881;1.053030;0.172539;0.062999;120329; image10;SSD MobileNet v2
1.222923;0.996909;0.180154;0.045359;76042; image11;SSD MobileNet v2
1.287458;1.064264;0.167982;0.052518;61060; image12;SSD MobileNet v2
1.441714;1.258286;0.120181;0.058509;193722; image13;SSD MobileNet v2
0.756017;0.620419;0.099334;0.034320;53569; image14;SSD MobileNet v2
1.057352;0.876038;0.130799;0.048970;89915; image15;SSD MobileNet v2
0.742596;0.602140;0.103868;0.034194;72731; image16;SSD MobileNet v2
1.078534;0.898035;0.114105;0.063710;145966; image17;SSD MobileNet v2
0.851004;0.688219;0.105257;0.055298;222223; image18;SSD MobileNet v2
0.711379;0.572868;0.103462;0.032948;50392; image19;SSD MobileNet v2
0.168296;0.058673;0.096917;0.010027;13742; image20;SSD MobileNet v2
0.719085;0.548843;0.109260;0.058885;43737; image21;SSD MobileNet v2
0.740264;0.594775;0.104338;0.039459;114016; image22;SSD MobileNet v2
0.727362;0.581379;0.097412;0.045224;186288; image23;SSD MobileNet v2
0.735295;0.585758;0.105989;0.039713;120769; image24;SSD MobileNet v2
0.726920;0.585635;0.102467;0.036299;81936; image25;SSD MobileNet v2
0.836835;0.679970;0.102026;0.051681;173711; image26;SSD MobileNet v2
0.751878;0.591799;0.105611;0.052973;176606; image27;SSD MobileNet v2
0.752346;0.596429;0.106916;0.045549;90089; image28;SSD MobileNet v2
0.746006;0.595752;0.106387;0.042204;150503; image29;SSD MobileNet v2
0.742168;0.601023;0.102466;0.036854;87159; image30;SSD MobileNet v2
0.160858;0.052745;0.095594;0.009366;14053; image31;SSD MobileNet v2
0.184006;0.062287;0.112138;0.007915;10151; image32;SSD MobileNet v2
